"Term","OddsRatio","CI_Lower","CI_Upper"
"(Intercept)",0.000318336260350901,1.64501426996101e-05,0.00564440073246456
"BMI",1.06126298876644,0.972279923139398,1.15887247338339
"Age",0.982246561195522,0.904586541209393,1.06351706658532
"Glucose",1.03705076677429,1.03009441650471,1.04446132203196
"Pregnancies",1.11175232109786,1.04367198088895,1.18547354530689
"BMI:Age",1.00096107582958,0.99847399375159,1.00353327551247
