"Term","OddsRatio","CI_Lower","CI_Upper"
"(Intercept)",0.000119478119268189,2.82040858917452e-05,0.000459646385842561
"BMI",1.09390412732934,1.06405488149334,1.12583545950159
"Age",1.02911492122987,1.01352372122841,1.04508562418207
"Glucose",1.03618733198475,1.02932606658843,1.043489053346
