"BMI","Age","Glucose","Pregnancies","PredictedProbability"
18.2,21,121.941489361702,3,0.0975182478413862
18.6939393939394,21,121.941489361702,3,0.101035166600111
19.1878787878788,21,121.941489361702,3,0.104664210740477
19.6818181818182,21,121.941489361702,3,0.108407885963966
20.1757575757576,21,121.941489361702,3,0.11226867582209
20.669696969697,21,121.941489361702,3,0.116249034831923
21.1636363636364,21,121.941489361702,3,0.120351381189626
21.6575757575758,21,121.941489361702,3,0.124578089082811
22.1515151515151,21,121.941489361702,3,0.128931480605194
22.6454545454545,21,121.941489361702,3,0.133413817279926
23.1393939393939,21,121.941489361702,3,0.138027291201159
23.6333333333333,21,121.941489361702,3,0.142774015806826
24.1272727272727,21,121.941489361702,3,0.147656016299303
24.6212121212121,21,121.941489361702,3,0.152675219734524
25.1151515151515,21,121.941489361702,3,0.157833444804274
25.6090909090909,21,121.941489361702,3,0.163132391340741
26.1030303030303,21,121.941489361702,3,0.168573629576904
26.5969696969697,21,121.941489361702,3,0.174158589201041
27.0909090909091,21,121.941489361702,3,0.179888548248399
27.5848484848485,21,121.941489361702,3,0.185764621877934
28.0787878787879,21,121.941489361702,3,0.191787751086891
28.5727272727273,21,121.941489361702,3,0.197958691420826
29.0666666666667,21,121.941489361702,3,0.204278001741402
29.5606060606061,21,121.941489361702,3,0.210746033118855
30.0545454545455,21,121.941489361702,3,0.217362917920365
30.5484848484848,21,121.941489361702,3,0.22412855916956
31.0424242424242,21,121.941489361702,3,0.231042620256029
31.5363636363636,21,121.941489361702,3,0.238104515076824
32.030303030303,21,121.941489361702,3,0.245313398694555
32.5242424242424,21,121.941489361702,3,0.252668158598576
33.0181818181818,21,121.941489361702,3,0.26016740665702
33.5121212121212,21,121.941489361702,3,0.267809471847795
34.0060606060606,21,121.941489361702,3,0.275592393856217
34.5,21,121.941489361702,3,0.283513917625535
34.9939393939394,21,121.941489361702,3,0.291571488944155
35.4878787878788,21,121.941489361702,3,0.299762251149949
35.9818181818182,21,121.941489361702,3,0.308083043027448
36.4757575757576,21,121.941489361702,3,0.316530397968092
36.969696969697,21,121.941489361702,3,0.325100544456956
37.4636363636364,21,121.941489361702,3,0.333789407941558
37.9575757575758,21,121.941489361702,3,0.342592614129439
38.4515151515151,21,121.941489361702,3,0.351505493751379
38.9454545454545,21,121.941489361702,3,0.360523088816307
39.4393939393939,21,121.941489361702,3,0.369640160372334
39.9333333333333,21,121.941489361702,3,0.378851197776073
40.4272727272727,21,121.941489361702,3,0.38815042945948
40.9212121212121,21,121.941489361702,3,0.397531835170181
41.4151515151515,21,121.941489361702,3,0.406989159647668
41.9090909090909,21,121.941489361702,3,0.41651592768415
42.4030303030303,21,121.941489361702,3,0.426105460505284
42.8969696969697,21,121.941489361702,3,0.43575089339284
43.3909090909091,21,121.941489361702,3,0.445445194458617
43.8848484848485,21,121.941489361702,3,0.455181184466936
44.3787878787879,21,121.941489361702,3,0.464951557591871
44.8727272727273,21,121.941489361702,3,0.474748902985359
45.3666666666667,21,121.941489361702,3,0.484565727023439
45.8606060606061,21,121.941489361702,3,0.494394476090422
46.3545454545454,21,121.941489361702,3,0.504227559754812
46.8484848484848,21,121.941489361702,3,0.51405737418643
47.3424242424242,21,121.941489361702,3,0.52387632566145
47.8363636363636,21,121.941489361702,3,0.533676854001119
48.330303030303,21,121.941489361702,3,0.54345145579063
48.8242424242424,21,121.941489361702,3,0.553192707227125
49.3181818181818,21,121.941489361702,3,0.562893286449919
49.8121212121212,21,121.941489361702,3,0.572545995211828
50.3060606060606,21,121.941489361702,3,0.582143779757725
50.8,21,121.941489361702,3,0.591679750785128
51.2939393939394,21,121.941489361702,3,0.601147202371523
51.7878787878788,21,121.941489361702,3,0.610539629764115
52.2818181818182,21,121.941489361702,3,0.619850745939605
52.7757575757576,21,121.941489361702,3,0.629074496854222
53.269696969697,21,121.941489361702,3,0.638205075317369
53.7636363636364,21,121.941489361702,3,0.647236933435758
54.2575757575758,21,121.941489361702,3,0.656164793588508
54.7515151515152,21,121.941489361702,3,0.664983657907283
55.2454545454545,21,121.941489361702,3,0.673688816248864
55.7393939393939,21,121.941489361702,3,0.682275852660538
56.2333333333333,21,121.941489361702,3,0.690740650351051
56.7272727272727,21,121.941489361702,3,0.699079395191614
57.2212121212121,21,121.941489361702,3,0.707288577782337
57.7151515151515,21,121.941489361702,3,0.715364994129494
58.2090909090909,21,121.941489361702,3,0.723305744988019
58.7030303030303,21,121.941489361702,3,0.731108233931622
